Event,Merged Category,Avg Time (sec),Performance Score
100k Standard Solo,0-10,17098.666666666668,3.1708743245374875e-05
100k Unlimited Solo,0-10,16538.916666666668,4.365001275699277e-05
100k Unlimited Solo,11-20,14352.333333333334,9.601697384870122e-05
100k Unlimited Solo,21-30,13613.333333333334,0.00011778294964920647
100k Unlimited Solo,31-40,16301.0,4.8154089468154504e-05
100k Unlimited Solo,41-50,18880.0,0.0
100m,0-10,15.073666666666668,0.3809325887287759
100m,11-20,13.793944444444444,0.4169512429775195
100m,21-30,17.139833333333335,0.338199173008527
100m,31-40,17.950333333333333,0.3198250282773481
10k Standard,0-10,2702.6855,0.0018782432113756198
10k Standard,11-20,2002.8816666666664,0.0025647815129692564
10k Standard,21-30,2513.306333333333,0.001982036321574452
10k Standard,31-40,2072.363,0.0024685214806169815
10k Unlimited,0-10,2321.8495000000003,0.0023179998442011416
10k Unlimited,11-20,1464.278375,0.0036310668810899545
10k Unlimited,21-30,1348.30425,0.003961988862965512
10k Unlimited,31-40,1528.3845,0.0034554401198395265
10k Unlimited,41-50,1604.829,0.0032763453403226255
30m Wheel Walk,0-10,9.62075,0.5991490639436874
30m Wheel Walk,11-20,7.448583333333333,0.7764250725538901
30m Wheel Walk,21-30,15.9965,0.35892604921579946
400m,0-10,71.81541666666666,0.08062120592381654
400m,11-20,59.68066666666667,0.0960480653615004
400m,21-30,74.995,0.07651224304757401
400m,31-40,73.76533333333333,0.07759712348839826
50m One-Foot,0-10,9.681,0.599945427049886
50m One-Foot,11-20,8.295,0.6929466457652362
50m One-Foot,21-30,12.707999999999998,0.4518855408988045
800m,0-10,152.097375,0.03778487977423197
800m,11-20,129.64337500000002,0.044055044994130974
800m,21-30,160.27208333333334,0.035730166645443866
800m,31-40,148.99666666666667,0.0382631366884582
Cyclocross Standard,0-10,1886.625,0.002743141372194647
Cyclocross Standard,11-20,1834.78325,0.002828623458324457
Cyclocross Standard,21-30,2057.333333333333,0.0024887785645177434
Downhill Gliding,0-10,18.7375,0.30855159326682635
Downhill Gliding,11-20,17.42375,0.3306572054450753
High Jump,0-10,44.5,0.1337187501129933
High Jump,11-20,103.5,0.06278460761219815
IUF Slalom,0-10,23.05166666666667,0.250322817578678
IUF Slalom,11-20,19.47722222222222,0.29512582043033386
IUF Slalom,21-30,25.126666666666665,0.2283940687582574
Long Jump,0-10,183.3333333333333,0.03274699231393003
Long Jump,11-20,263.3333333333333,0.02215157373486515
Marathon Standard,0-10,7355.0,0.0004770315877299252
Marathon Standard,11-20,6724.166666666666,0.0005545104528923056
Marathon Standard,21-30,7103.0,0.0005046484468724542
Marathon Unlimited,0-10,7730.833333333334,0.0004493560803652415
Marathon Unlimited,11-20,6269.444444444444,0.0006164553222394826
Marathon Unlimited,21-30,5726.333333333333,0.0006996932547769487
Marathon Unlimited,31-40,6362.0,0.0005988766260528939
Marathon Unlimited,41-50,7955.333333333333,0.0004179707530843297
Muni Cross Country Beginner,0-10,1685.1666666666663,0.0031150004159594476
Muni Cross Country Beginner,11-20,1505.1666666666663,0.003521542567011773
Muni Cross Country Beginner,21-30,1535.6666666666667,0.0034376110328985764
Muni Cross Country Elite Standard,0-10,3915.0,0.0011725334507729443
Muni Cross Country Elite Standard,11-20,3346.6666666666665,0.0014126945980628093
Muni Cross Country Elite Standard,21-30,4074.6666666666665,0.001105916108194939
Muni Downhill Advanced,0-10,85.35,0.06756872517556489
Muni Downhill Advanced,11-20,75.00333333333333,0.07631128671752782
Muni Downhill Advanced,21-30,91.0,0.06284320916432605
Muni Downhill Beginner,0-10,221.7445,0.02561828651357274
Muni Downhill Beginner,11-20,159.95625,0.035637145508720214
Muni Downhill Beginner,21-30,180.1555,0.031592685954923955
Muni Uphill,0-10,361.35,0.015862577544406415
Muni Uphill,11-20,236.48749999999995,0.02555691468861921
Muni Uphill,21-30,239.1,0.023729215538213947
Platform High Jump,0-10,79.66666666666666,0.08343932985599113
Platform High Jump,11-20,131.0,0.043561506836100564
Platform Long Jump,0-10,182.5,0.032988438924701914
Rail Race,0-10,5.875,1.0
Rail Race,11-20,19.06,0.5176799895039772
Rail Race,21-30,36.25,0.15821782262888998
Slow Backward,0-10,16.582500000000003,0.3576961636581476
Slow Backward,11-20,45.0275,0.1553781808999824
Slow Forward,0-10,24.205,0.23797521546444803
Slow Forward,11-20,69.30499999999999,0.1113731387904674
Speed Trials,0-10,18.971666666666664,0.33379978256970033
Speed Trials,11-20,14.343333333333334,0.4003297964634736
Speed Trials,21-30,11.146666666666668,0.5152245816801894
Stillstand,0-10,17.879583333333333,0.40715182323504623
Stillstand,11-20,230.56,0.03896297997944696
Track Coasting,0-10,31.416666666666664,0.19145804344083495
Track Coasting,11-20,81.03333333333333,0.07105273476687855
Trials,0-10,20.0,0.29157775906132855
Trials,11-20,59.75,0.11857679120978178
Trials,21-30,149.0,0.038262273880792806
