Country,Female,Male
Australia,18,84
Austria,28,15
Basque Country,0,7
Belgium,6,55
Brazil,0,1
Canada,0,52
China,0,19
Denmark,107,119
EU,0,3
France,74,228
Germany,367,235
Hong Kong,89,111
Hungary,0,27
Israel,0,15
Italy,24,46
Japan,357,145
Macao,0,3
Morocco,9,0
Netherlands,18,4
New Zealand,8,25
Poland,0,8
Puerto Rico,0,2
Republic of Korea,291,466
Russian Federation,23,75
Singapore,2,2
Slovakia,0,22
South Korea,79,269
Spain,0,13
Sweden,2,25
Swiss,1,0
Switzerland,44,100
Sydney Olympic Park,1,0
Taiwan,406,378
United Kingdom,0,65
United States,35,96
